name,elev_ft,elev_m,lat,lon,activities,season,link
Mount McLoughlin,9495,2894,42.445,-122.3142,,,http://www.summitpost.org/mount-mcloughlin/150504
Mickey Butte,6294,1918,42.7091,-118.34836,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mickey-butte/586667
Middle Pyramid,5618,1712,44.5,-122.083,,,http://www.summitpost.org/middle-pyramid/151120
Middle Sister,10056,3065,44.1483,-121.7828,"Hiking, Mountaineering","Spring, Summer, Fall, Winter",http://www.summitpost.org/middle-sister/150448
Mind Planet Rock,2500,762,43.21894,-123.56658,"Sport Climbing, Toprope","Spring, Summer, Fall, Winter",http://www.summitpost.org/mind-planet-rock/574325
Moon Mountain,7043,2147,44.3486,-119.2225,,,http://www.summitpost.org/moon-mountain/151661
Moore Mountain,7060,2152,44.3356,-119.2426,,,http://www.summitpost.org/moore-mountain/152027
Mount Baldy,1233,376,43.99914,-123.06031,Hiking,,http://www.summitpost.org/mount-baldy/948593
Mount Ireland,8321,2536,44.83686,-118.3206,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/mount-ireland/419173
Mount June,4618,1408,43.7912,-122.7232,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/mount-june/291121
Mount Melissa,9128,2782,45.21838,-117.1349,Hiking,"Summer, Fall",http://www.summitpost.org/mount-melissa/652235
Mount Nebo,8274,2522,45.1609,-117.1376,"Hiking, Skiing","Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-nebo/588711
Mount Pisgah,1561,476,44.0056,-122.9644,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-pisgah/472145
"Mount Tabor (Portland, OR)",636,194,45.5119,-122.5943,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-tabor-portland-or/965267
Mount Talbert,740,226,45.42674,-122.55266,Hiking,,http://www.summitpost.org/mount-talbert/991628
Mt. Isabelle,4494,1370,42.3032,-123.1047,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mt-isabelle/279965
Mule Mountain,3532,1077,42.0887,-123.075,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mule-mountain/280494
Multorpor Mountain,4656,1419,45.29358,-121.7498,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/multorpor-mountain/991826
Munra Point,1814,553,45.62262,-121.96091,Scrambling,"Spring, Summer, Fall, Winter",http://www.summitpost.org/munra-point/372091
Neahkahnie Mountain (South Peak),1631,497,45.74344,-123.9441,Hiking,,http://www.summitpost.org/neahkahnie-mountain-south-peak/338232
